image,image_url,elapsed_s,phase,segment_id,spatial_block,split,assignment_type
img_003942.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_003942.jpg,3942,Launching,seg_0002,822:-1982,train,production
img_004002.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004002.jpg,4002,Launching,seg_0002,822:-1981,train,production
img_004062.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004062.jpg,4062,Launching,seg_0002,822:-1981,train,production
img_004122.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004122.jpg,4122,Launching,seg_0002,822:-1981,train,production
img_004182.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004182.jpg,4182,Launching,seg_0002,822:-1981,train,production
img_004242.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004242.jpg,4242,Launching,seg_0002,822:-1980,train,production
img_004302.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004302.jpg,4302,Launching,seg_0002,822:-1980,train,production
img_004362.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004362.jpg,4362,Launching,seg_0002,822:-1980,train,production
img_004542.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004542.jpg,4542,Launching,seg_0004,822:-1978,train,production
img_004602.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004602.jpg,4602,Launching,seg_0004,822:-1978,train,production
img_004662.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004662.jpg,4662,Launching,seg_0004,822:-1978,train,production
img_004722.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004722.jpg,4722,Launching,seg_0004,822:-1977,train,production
img_004782.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004782.jpg,4782,Launching,seg_0004,822:-1977,train,production
img_004902.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004902.jpg,4902,Launching,seg_0004,822:-1976,train,production
img_004962.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_004962.jpg,4962,Launching,seg_0004,822:-1976,train,production
img_005144.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_005144.jpg,5144,Launching,seg_0006,822:-1975,validation,production
img_005384.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_005384.jpg,5384,Launching,seg_0008,822:-1973,validation,production
img_005444.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_005444.jpg,5444,Launching,seg_0008,822:-1973,validation,production
img_005504.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_005504.jpg,5504,Launching,seg_0009,822:-1972,train,production
img_005624.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_005624.jpg,5624,Launching,seg_0009,822:-1972,train,production
img_005684.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/launching/img_005684.jpg,5684,Launching,seg_0009,822:-1972,train,production
img_006824.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_006824.jpg,6824,Floating,seg_0013,822:-1974,train,production
img_006884.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames_corrected/floating/img_006884.jpg,6884,Floating,seg_0013,822:-1974,train,production
