image,image_url,elapsed_s,phase,segment_id,spatial_block,split,assignment_type
img_002742.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_002742.jpg,2742,Launching,seg_0000,822:-1984,train,production
img_002802.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_002802.jpg,2802,Launching,seg_0000,822:-1984,train,production
img_002862.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_002862.jpg,2862,Launching,seg_0000,822:-1984,train,production
img_002922.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_002922.jpg,2922,Launching,seg_0000,822:-1984,train,production
img_002982.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_002982.jpg,2982,Launching,seg_0000,822:-1984,train,production
img_003042.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003042.jpg,3042,Launching,seg_0000,822:-1984,train,production
img_003162.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003162.jpg,3162,Launching,seg_0000,822:-1984,train,production
img_003222.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003222.jpg,3222,Launching,seg_0000,822:-1983,train,production
img_003282.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003282.jpg,3282,Launching,seg_0000,822:-1983,train,production
img_003342.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003342.jpg,3342,Launching,seg_0001,822:-1983,train,production
img_003402.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003402.jpg,3402,Launching,seg_0001,822:-1983,train,production
img_003462.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003462.jpg,3462,Launching,seg_0001,822:-1983,train,production
img_003582.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003582.jpg,3582,Launching,seg_0001,822:-1983,train,production
img_003642.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003642.jpg,3642,Launching,seg_0001,822:-1983,train,production
img_003702.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003702.jpg,3702,Launching,seg_0001,822:-1983,train,production
img_003762.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003762.jpg,3762,Launching,seg_0001,822:-1983,train,production
