image,image_url,phase,elapsed_s,segment_id,split,registration_status,registrar,checker
img_002742.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_002742.jpg,Launching,2742,seg_0000,train,blocked_pending_reference_license,,
img_002802.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_002802.jpg,Launching,2802,seg_0000,train,blocked_pending_reference_license,,
img_002862.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_002862.jpg,Launching,2862,seg_0000,train,blocked_pending_reference_license,,
img_002922.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_002922.jpg,Launching,2922,seg_0000,train,blocked_pending_reference_license,,
img_002982.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_002982.jpg,Launching,2982,seg_0000,train,blocked_pending_reference_license,,
img_003042.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003042.jpg,Launching,3042,seg_0000,train,blocked_pending_reference_license,,
img_003102.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003102.jpg,Launching,3102,seg_0000,train,blocked_pending_reference_license,,
img_003162.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003162.jpg,Launching,3162,seg_0000,train,blocked_pending_reference_license,,
img_003222.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003222.jpg,Launching,3222,seg_0000,train,blocked_pending_reference_license,,
img_003282.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003282.jpg,Launching,3282,seg_0000,train,blocked_pending_reference_license,,
img_003342.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003342.jpg,Launching,3342,seg_0001,train,blocked_pending_reference_license,,
img_003402.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003402.jpg,Launching,3402,seg_0001,train,blocked_pending_reference_license,,
img_003462.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003462.jpg,Launching,3462,seg_0001,train,blocked_pending_reference_license,,
img_003522.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003522.jpg,Launching,3522,seg_0001,train,blocked_pending_reference_license,,
img_003582.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003582.jpg,Launching,3582,seg_0001,train,blocked_pending_reference_license,,
img_003642.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003642.jpg,Launching,3642,seg_0001,train,blocked_pending_reference_license,,
img_003702.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003702.jpg,Launching,3702,seg_0001,train,blocked_pending_reference_license,,
img_003762.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003762.jpg,Launching,3762,seg_0001,train,blocked_pending_reference_license,,
img_003822.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003822.jpg,Launching,3822,seg_0001,train,blocked_pending_reference_license,,
img_003882.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003882.jpg,Launching,3882,seg_0001,train,blocked_pending_reference_license,,
img_003942.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_003942.jpg,Launching,3942,seg_0002,train,blocked_pending_reference_license,,
img_004002.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004002.jpg,Launching,4002,seg_0002,train,blocked_pending_reference_license,,
img_004062.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004062.jpg,Launching,4062,seg_0002,train,blocked_pending_reference_license,,
img_004122.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004122.jpg,Launching,4122,seg_0002,train,blocked_pending_reference_license,,
img_004182.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004182.jpg,Launching,4182,seg_0002,train,blocked_pending_reference_license,,
img_004242.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004242.jpg,Launching,4242,seg_0002,train,blocked_pending_reference_license,,
img_004302.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004302.jpg,Launching,4302,seg_0002,train,blocked_pending_reference_license,,
img_004362.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004362.jpg,Launching,4362,seg_0002,train,blocked_pending_reference_license,,
img_004422.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004422.jpg,Launching,4422,seg_0003,test,blocked_pending_reference_license,,
img_004482.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004482.jpg,Launching,4482,seg_0003,test,blocked_pending_reference_license,,
img_004542.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004542.jpg,Launching,4542,seg_0004,train,blocked_pending_reference_license,,
img_004602.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004602.jpg,Launching,4602,seg_0004,train,blocked_pending_reference_license,,
img_004662.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004662.jpg,Launching,4662,seg_0004,train,blocked_pending_reference_license,,
img_004722.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004722.jpg,Launching,4722,seg_0004,train,blocked_pending_reference_license,,
img_004782.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004782.jpg,Launching,4782,seg_0004,train,blocked_pending_reference_license,,
img_004842.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004842.jpg,Launching,4842,seg_0004,train,blocked_pending_reference_license,,
img_004902.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004902.jpg,Launching,4902,seg_0004,train,blocked_pending_reference_license,,
img_004962.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_004962.jpg,Launching,4962,seg_0004,train,blocked_pending_reference_license,,
img_005022.jpg,https://raw.githubusercontent.com/ZShamsi987/canyonbench-data/main/frames/launching/img_005022.jpg,Launching,5022,seg_0005,validation,blocked_pending_reference_license,,
